station_name,available_bikes
Berkeley Pl & 6 Ave,11
Wolcott St & Dwight St,19
Central Park West & W 102 St,4
Pioneer St & Richards St,20
W 107 St & Columbus Ave,3
Pioneer St & Van Brunt St,16
Madison Ave & E 99 St,3
Berkeley Pl & 7 Ave,25
Van Brunt St & Wolcott St,18
Coffey St & Conover St,12
Grand Army Plaza & Plaza St West,1
W 100 St & Broadway,4
E 102 St & 1 Ave,2
Sigourney St & Columbia St,19
Reed St & Van Brunt St,0
3 St & Prospect Park West,2
E 66 St & Madison Ave,0
Amsterdam Ave & W 66 St,0
W 106 St & Amsterdam Ave,4
Garfield Pl & 8 Ave,1
E 68 St & Madison Ave,1
Amsterdam Ave & W 79 St,1
Carroll St & 6 Ave,0
Madison Ave & E 82 St,3
E 102 St & Park Ave,0
Carroll St & 5 Ave,12
3 St & 7 Ave,2
West End Ave & W 107 St,0
5 Ave & E 103 St,3
5 Ave & 3 St,11
E 82 St & East End Ave,2
E 78 St & 2 Ave,3
4 Ave & 2 St,24
E 74 St & 1 Ave,1
3 St & 3 Ave,22
Central Park North & Adam Clayton Powell Blvd,12
3 Ave & E 72 St,0
E 65 St & 2 Ave,3
Carroll St & Bond St,4
E 76 St & Park Ave,1
E 103 St & Lexington Ave,13
3 St & Hoyt St,21
Carroll St & Smith St,20
Cathedral Pkwy & Broadway,6
Smith St & 3 St,20
1 Pl & Clinton St,0
E 106 St & Madison Ave,4
President St & Henry St,5
Carroll St & Columbia St,5
E 109 St & 3 Ave,3
E 106 St & 1 Ave,7
Commerce St & Van Brunt St,14
Richards St & Delavan St,13
Columbia St & W 9 St,19
Henry St & W 9 St,11
Clinton St & 4 Place,12
Court St & Nelson St,19
Smith St & 9 St,11
7 St & 3 Ave,23
E 110 St & Madison Ave,5
2 Ave & 9 St,8
Court St & State St,8
4 Ave & 9 St,2
7 St & 5 Ave,8
5 St & 6 Ave,0
Union St & Nevins St,14
Congress St & Clinton St,11
Bergen St & Smith St,29
Dean St & Hoyt St,28
Bond St & Bergen St,9
Pacific St & Nevins St,1
Wyckoff St & 3 Ave,11
Bergen St & Flatbush Ave,14
Prospect Pl & 6 Ave,0
7 Ave & Park Pl,18
Baltic St & 5 Ave,9
Plaza St West & Flatbush Ave,10
Douglass St & 4 Ave,25
Douglass St & 3 Ave,13
Hoyt St & Warren St,17
Columbia St & Degraw St,14
West Drive & Prospect Park West,5
E 106 St & Lexington Ave,1
2 Ave  & E 104 St,0
Lafayette St & Jersey St,17
8 Ave & W 16 St,4
Hanson Pl & Ashland Pl,36
Richardson St & N Henry St,3
E 35 St & 3 Ave,2
W 88 St & West End Ave,1
Grand St & Elizabeth St,22
Greenwich St & Hubert St,8
Riverside Dr & W 91 St,2
E 76 St & 3 Ave,7
Fulton St & Adams St,33
W 52 St & 6 Ave,13
E 71 St & 1 Ave,1
Eckford St & Engert Ave,3
Bayard St & Leonard St,11
Devoe St & Lorimer St,13
Leonard St & Maujer St,7
Schermerhorn St & 3 Ave,30
Jackson St & Leonard St,9
E 58 St & Madison Ave,0
W 55 St & 6 Ave,6
E 53 St & 3 Ave,24
Murray St & Greenwich St,28
E 44 St & 2 Ave,30
E 16 St & Irving Pl,3
W 45 St & 6 Ave,8
W Broadway & Spring Street,23
India St & West St,19
W 15 St & 10 Ave,38
6 Ave & Spring St,24
Norman Ave & Leonard St,6
39 St & 2 Ave - Citi Bike HQ at Industry City,20
2 Ave & 36 St - Citi Bike HQ at Industry City,34
Picnic Point,11
Washington St,6
York St,11
Gold St & Frankfort St,1
